L1,gender,subset,speakers,vowel,label,n_tokens,F1_obs,F1_SD,F1_Hil,dF1_Hil,F1_Hag,dF1_Hag,F2_obs,F2_SD,F2_Hil,dF2_Hil,F2_Hag,dF2_Hag
KOR,M,all,4,æ,æ  (had),422,617.0,117.0,588,29.0,761,-144.0,1677.0,143.0,1952,-275.0,1633,44.0
KOR,M,all,4,ɑ,ɑ  (hod),241,674.0,124.0,768,-94.0,731,-57.0,1212.0,126.0,1333,-121.0,1118,94.0
KOR,M,all,4,ʊ,ʊ  (hood),71,370.0,70.0,469,-99.0,465,-95.0,1243.0,259.0,1122,121.0,1227,16.0
KOR,M,all,4,u,u  (who'd),186,371.0,65.0,378,-7.0,389,-18.0,1323.0,287.0,997,326.0,1395,-72.0
KOR,M,all,4,ʌ,ʌ  (hud),432,573.0,108.0,623,-50.0,687,-114.0,1239.0,151.0,1200,39.0,1233,6.0
KOR,M,stressed,4,i,i  (heed),290,336.0,45.0,342,-6.0,294,42.0,2128.0,181.0,2322,-194.0,2208,-80.0
KOR,M,stressed,4,ɪ,ɪ  (hid),456,360.0,59.0,427,-67.0,458,-98.0,2053.0,216.0,2034,19.0,1860,193.0
KOR,M,stressed,4,ɛ,ɛ  (head),429,573.0,90.0,580,-7.0,584,-11.0,1670.0,155.0,1799,-129.0,1719,-49.0
KOR,M,stressed,4,æ,æ  (had),420,617.0,116.0,588,29.0,761,-144.0,1676.0,143.0,1952,-276.0,1633,43.0
KOR,M,stressed,4,ɑ,ɑ  (hod),241,674.0,124.0,768,-94.0,731,-57.0,1212.0,126.0,1333,-121.0,1118,94.0
KOR,M,stressed,4,ʊ,ʊ  (hood),71,370.0,70.0,469,-99.0,465,-95.0,1243.0,259.0,1122,121.0,1227,16.0
KOR,M,stressed,4,u,u  (who'd),184,371.0,65.0,378,-7.0,389,-18.0,1322.0,288.0,997,325.0,1395,-73.0
KOR,M,stressed,4,ʌ,ʌ  (hud),432,573.0,108.0,623,-50.0,687,-114.0,1239.0,151.0,1200,39.0,1233,6.0
KOR,M,citation,4,i,i  (heed),106,343.0,46.0,342,1.0,294,49.0,2193.0,172.0,2322,-129.0,2208,-15.0
KOR,M,citation,4,ɪ,ɪ  (hid),80,382.0,58.0,427,-45.0,458,-76.0,2029.0,237.0,2034,-5.0,1860,169.0
KOR,M,citation,4,ɛ,ɛ  (head),181,589.0,93.0,580,9.0,584,5.0,1662.0,150.0,1799,-137.0,1719,-57.0
KOR,M,citation,4,æ,æ  (had),129,678.0,126.0,588,90.0,761,-83.0,1659.0,142.0,1952,-293.0,1633,26.0
KOR,M,citation,4,ɑ,ɑ  (hod),107,718.0,105.0,768,-50.0,731,-13.0,1206.0,109.0,1333,-127.0,1118,88.0
KOR,M,citation,4,ʊ,ʊ  (hood),25,374.0,64.0,469,-95.0,465,-91.0,1159.0,218.0,1122,37.0,1227,-68.0
KOR,M,citation,4,u,u  (who'd),73,369.0,67.0,378,-9.0,389,-20.0,1284.0,302.0,997,287.0,1395,-111.0
KOR,M,citation,4,ʌ,ʌ  (hud),53,628.0,91.0,623,5.0,687,-59.0,1161.0,139.0,1200,-39.0,1233,-72.0
